,city,x,y
1,Adana,-5,-98
2,Adiyaman,134,-76
3,Afyon,-273,-5
4,Agri,409,58
5,Amasya,17,134
6,Ankara,-177,75
7,Antalya,-274,-124
8,Artvin,339,168
9,Aydin,-404,-74
10,Balikesir,-418,61
11,Bilecik,-292,96
12,Bingol,284,25
13,Bitlis,374,-16
14,Bolu,-212,125
15,Burdur,-300,-90
16,Bursa,-364,96
17,Canakkale,-481,80
18,Cankiri,-124,134
19,Corum,-55,124
20,Denizli,-350,-68
21,Diyarbakir,233,-48
22,Edirne,-499,135
23,Elazig,190,-11
24,Erzincan,176,64
25,Erzurum,300,82
26,Eskisehir,-265,62
27,Gaziantep,82,-116
28,Giresun,155,140
29,Gumushane,209,115
30,Hakkari,451,-87
31,Hatay,39,-165
32,Isparta,-255,-56
33,Icel,-101,-143
34,Istanbul,-384,171
35,Izmir,-436,-41
36,Kars,400,111
37,Kastamonu,-115,201
38,Kayseri,1,-14
39,Kirklareli,-443,208
40,Kirsehir,-80,34
41,Kocaeli,-315,147
42,Konya,-166,-52
43,Kutahya,-343,34
44,Malatya,125,-16
45,Manisa,-421,-1
46,K.Maras,64,-67
47,Mardin,276,-103
48,Mugla,-411,-108
49,Mus,338,14
50,Nevsehir,-51,-3
51,Nigde,-48,-60
52,Ordu,101,150
53,Rize,290,151
54,Sakarya,-276,135
55,Samsun,16,176
56,Siirt,355,-58
57,Sinop,-34,205
58,Sivas,94,61
59,Tekirdag,-456,164
60,Tokat,69,119
61,Trabzon,227,146
62,Tunceli,205,29
63,Sanliurfa,161,-111
64,Usak,-334,-16
65,Van,423,-29
66,Yozgat,-33,67
67,Zonguldak,-208,178
68,Aksaray,-106,-27
69,Bayburt,253,100
70,Karaman,-130,-109
71,Kirikkale,-105,77
72,Batman,318,-68
73,Sirnak,374,-92
74,Bartin,-163,203
75,Ardahan,397,172
76,Igdir,464,77
77,Yalova,-350,133
78,Karabuk,-165,169
79,Kilis,86,-136
80,Osmaniye,37,-103
81,Duzce,-236,150
